rf,readers,runs,write_throughput_mb_s_mean,write_throughput_mb_s_std,read_throughput_mb_s_mean,read_throughput_mb_s_std,read_elapsed_s_mean,read_elapsed_s_std,single_read_avg_s_mean,single_read_avg_s_std,single_read_max_s_mean,single_read_max_s_std
1,1,2,10.964317015028847,0.37060318247020924,14.673387025956233,1.34513726108485,4.380042195320129,0.4015267880297078,4.37947142124176,0.4014569928485738,4.37947142124176,0.4014569928485738
1,2,2,10.964317015028847,0.37060318247020924,26.129057185635254,5.0356946519724195,4.991458415985107,0.961973494578957,4.956502020359039,0.9400826743434897,4.9903693199157715,0.9627736103510869
1,4,2,10.964317015028847,0.37060318247020924,40.68522120736762,3.3117280978526917,6.313125729560852,0.5138808452656849,6.18806928396225,0.5730387518914539,6.3119871616363525,0.513208012976057
1,8,2,10.964317015028847,0.37060318247020924,49.73160741117212,2.4566323263552534,10.30783975124359,0.509184674817207,10.04204721748829,0.46926467612081035,10.304422974586487,0.5110124993434255
2,1,2,9.76864123490397,1.6179730541690576,15.866003734227021,1.1587960290173611,4.044569492340088,0.2954008548918826,4.043432235717773,0.2953850076768425,4.043432235717773,0.2953850076768425
2,2,2,9.76864123490397,1.6179730541690576,25.047655965021132,0.9494521628914058,5.1139326095581055,0.1938478548174894,5.0228323340415955,0.0922654362428359,5.11269223690033,0.1938517323275524
2,4,2,9.76864123490397,1.6179730541690576,38.58911309559363,3.5501698886117943,6.662189364433289,0.6129164983722194,6.491823494434357,0.5147102109506826,6.660274624824524,0.6117670695196303
2,8,2,9.76864123490397,1.6179730541690576,43.91648826801311,8.474907714758748,11.879693865776062,2.2925173018756193,11.406331703066826,2.300135618698479,11.876062273979187,2.29367347422397
3,1,2,10.92664699988234,0.644659886301107,16.561874142750998,1.1486639272711914,3.873613476753235,0.26865800516214466,3.8729166984558105,0.26844777668177183,3.8729166984558105,0.26844777668177183
3,2,2,10.92664699988234,0.644659886301107,27.85565584551209,3.2960613605800804,4.627512335777283,0.5475571887502535,4.620694637298584,0.5491875974380489,4.626663684844971,0.5471274594828364
3,4,2,10.92664699988234,0.644659886301107,40.06154244460599,1.7794991770375934,6.396478652954102,0.28412606715303634,6.246573060750961,0.24832000126636375,6.39443838596344,0.28201653309136904
3,8,2,10.92664699988234,0.644659886301107,48.81610197251615,2.1273583944485663,10.498311400413513,0.4575062322218773,10.211737409234047,0.48619380076218116,10.489325046539307,0.44765347915178916
4,1,2,11.611530088832158,1.1523783006133739,17.477947646285266,0.6598693084621008,3.664368748664856,0.13834601871264557,3.6635488271713257,0.13877119612042313,3.6635488271713257,0.13877119612042313
4,2,2,11.611530088832158,1.1523783006133739,27.237432099758585,1.083918015462424,4.7031391859054565,0.1871621845319033,4.670306086540222,0.20157758683438737,4.702342510223389,0.18677595081214945
4,4,2,11.611530088832158,1.1523783006133739,40.46143243768853,6.60371273982948,6.412418246269226,1.0465711546722056,6.343140482902527,1.0609560426563678,6.41185462474823,1.0466099297728355
4,8,2,11.611530088832158,1.1523783006133739,53.24408470884678,1.253520477100997,9.618757367134094,0.22645349976248913,9.265257626771927,0.20113230537987165,9.616521954536438,0.2263149209245834
5,1,2,11.961566487278315,1.3763861095617353,16.214185203736207,1.7393824116392422,3.970004439353943,0.425883620371548,3.969393491744995,0.42576442908395873,3.969393491744995,0.42576442908395873
5,2,2,11.961566487278315,1.3763861095617353,26.011560919370897,0.8297016354973793,4.923393487930298,0.1570435408238363,4.876298546791077,0.14860742762589574,4.92258882522583,0.15668748424761625
5,4,2,11.961566487278315,1.3763861095617353,39.874892070778515,3.4099830114751946,6.443641781806946,0.551041215835558,6.405672013759613,0.5467213324505854,6.442006826400757,0.5487290397262504
5,8,2,11.961566487278315,1.3763861095617353,50.123357815026985,10.437313870487396,10.441167116165161,2.174190699030861,10.139679476618767,2.044729552085675,10.44036614894867,2.174554679214601
